,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_clf__C,param_clf__gamma,param_clf__kernel,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,5.706199932,0.806200075,0.935666667,0.937933333,0.03125,,linear,"{'clf__C': 0.03125, 'clf__kernel': 'linear'}",66,0.934666667,0.939166667,0.934333333,0.937916667,0.936666667,0.93725,0.934666667,0.937833333,0.938,0.9375,0.188101453,0.018840385,0.001429841,0.000661228
1,4.887400007,0.716400051,0.960533333,0.963,0.0625,,linear,"{'clf__C': 0.0625, 'clf__kernel': 'linear'}",58,0.957,0.96475,0.964333333,0.960916667,0.961666667,0.962583333,0.958,0.964166667,0.961666667,0.962583333,0.053883594,0.01929356,0.002679967,0.001349897
2,4.031200027,0.588999987,0.975333333,0.978966667,0.125,,linear,"{'clf__C': 0.125, 'clf__kernel': 'linear'}",50,0.969666667,0.980166667,0.978666667,0.977833333,0.977,0.978666667,0.974333333,0.978833333,0.977,0.979333333,0.074063183,0.021372897,0.003155243,0.000770281
3,3.479399967,0.492800045,0.9834,0.98705,0.25,,linear,"{'clf__C': 0.25, 'clf__kernel': 'linear'}",36,0.977666667,0.98875,0.986333333,0.986666667,0.984333333,0.986583333,0.982666667,0.9865,0.986,0.98675,0.067410991,0.014048477,0.003151014,0.000854075
4,3.087200069,0.410599995,0.986666667,0.99065,0.5,,linear,"{'clf__C': 0.5, 'clf__kernel': 'linear'}",23,0.981666667,0.99175,0.989,0.99025,0.987,0.990416667,0.987,0.990583333,0.988666667,0.99025,0.066225103,0.009520493,0.002633122,0.000563718
5,2.745200014,0.362400007,0.987866667,0.993633333,1,,linear,"{'clf__C': 1.0, 'clf__kernel': 'linear'}",16,0.983,0.994333333,0.990333333,0.993,0.989333333,0.99375,0.987666667,0.993916667,0.989,0.993166667,0.050057533,0.008236565,0.002578544,0.000490465
6,2.67760005,0.320599937,0.988333333,0.995866667,2,,linear,"{'clf__C': 2.0, 'clf__kernel': 'linear'}",4,0.984666667,0.995916667,0.991,0.995916667,0.99,0.99575,0.986333333,0.996166667,0.989666667,0.995583333,0.093732809,0.008039961,0.002412928,0.000194365
7,2.482800055,0.285999918,0.9868,0.997883333,4,,linear,"{'clf__C': 4.0, 'clf__kernel': 'linear'}",22,0.983333333,0.99825,0.989,0.9975,0.987333333,0.997833333,0.986333333,0.99825,0.988,0.997583333,0.035318057,0.003794684,0.001939072,0.000318852
8,2.490399981,0.265600061,0.985,0.998716667,8,,linear,"{'clf__C': 8.0, 'clf__kernel': 'linear'}",35,0.984,0.998583333,0.986666667,0.998666667,0.984666667,0.99875,0.983666667,0.998916667,0.986,0.998666667,0.048309865,0.010111368,0.001154701,0.000113039
9,2.506600046,0.259799957,0.9834,0.999166667,16,,linear,"{'clf__C': 16.0, 'clf__kernel': 'linear'}",36,0.982666667,0.999083333,0.985333333,0.998916667,0.982333333,0.999166667,0.982666667,0.999416667,0.984,0.99925,0.033690387,0.007054071,0.001123487,0.000166667
10,2.683400011,0.260200024,0.9818,0.99925,32,,linear,"{'clf__C': 32.0, 'clf__kernel': 'linear'}",40,0.981,0.99925,0.983333333,0.999083333,0.981333333,0.999166667,0.979333333,0.999333333,0.984,0.999416667,0.05192535,0.011408793,0.001681269,0.000117851
11,6.219599962,1.060000038,0.901,0.901,0.03125,0.03125,rbf,"{'clf__gamma': 0.03125, 'clf__C': 0.03125, 'clf__kernel': 'rbf'}",119,0.901,0.901,0.901,0.901,0.901,0.901,0.901,0.901,0.901,0.901,0.055902105,0.055472528,0,0
12,6.4546,1.109000015,0.901,0.901,0.03125,0.0625,rbf,"{'clf__gamma': 0.0625, 'clf__C': 0.03125, 'clf__kernel': 'rbf'}",119,0.901,0.901,0.901,0.901,0.901,0.901,0.901,0.901,0.901,0.901,0.056894908,0.043391258,0,0
13,6.706799984,1.119200039,0.901,0.901,0.03125,0.125,rbf,"{'clf__gamma': 0.125, 'clf__C': 0.03125, 'clf__kernel': 'rbf'}",119,0.901,0.901,0.901,0.901,0.901,0.901,0.901,0.901,0.901,0.901,0.085323817,0.047679847,0,0
